Year,County,Gender,Race,Offense_Category,Count
2021,Alameda,Male,Asian/other,Drug,44.0
2021,Alameda,Male,Asian/other,Property,166.0
2021,Alameda,Male,Asian/other,PublicOrder,192.0
2021,Alameda,Male,Asian/other,Violent,307.0
2021,Alameda,Male,Black,Drug,177.0
2021,Alameda,Male,Black,Property,750.0
2021,Alameda,Male,Black,PublicOrder,1115.0
2021,Alameda,Male,Black,Violent,1186.0
2021,Alameda,Male,Latinx,Drug,125.0
2021,Alameda,Male,Latinx,Property,570.0
2021,Alameda,Male,Latinx,PublicOrder,642.0
2021,Alameda,Male,Latinx,Violent,767.0
2021,Alameda,Male,White,Drug,106.0
2021,Alameda,Male,White,Property,415.0
2021,Alameda,Male,White,PublicOrder,377.0
2021,Alameda,Male,White,Violent,433.0
2021,Alpine,Female,Asian/other,Drug,0.0
2021,Alpine,Female,Asian/other,Property,0.0
2021,Alpine,Female,Asian/other,PublicOrder,0.0
2021,Alpine,Female,Asian/other,Violent,0.0
2021,Alpine,Female,Black,Drug,0.0
2021,Alpine,Female,Black,Property,0.0
2021,Alpine,Female,Black,PublicOrder,0.0
2021,Alpine,Female,Black,Violent,0.0
2021,Alpine,Female,Latinx,Drug,0.0
2021,Alpine,Female,Latinx,Property,0.0
2021,Alpine,Female,Latinx,PublicOrder,0.0
2021,Alpine,Female,Latinx,Violent,0.0
2021,Alpine,Female,White,Drug,0.0
2021,Alpine,Female,White,Property,0.0
2021,Alpine,Female,White,PublicOrder,0.0
2021,Alpine,Female,White,Violent,1.0
2021,Alpine,Male,Asian/other,Drug,1.0
2021,Alpine,Male,Asian/other,Property,1.0
2021,Alpine,Male,Asian/other,PublicOrder,0.0
2021,Alpine,Male,Asian/other,Violent,0.0
2021,Alpine,Male,Black,Drug,0.0
2021,Alpine,Male,Black,Property,0.0
2021,Alpine,Male,Black,PublicOrder,0.0
2021,Alpine,Male,Black,Violent,0.0
2021,Alpine,Male,Latinx,Drug,0.0
2021,Alpine,Male,Latinx,Property,0.0
2021,Alpine,Male,Latinx,PublicOrder,1.0
2021,Alpine,Male,Latinx,Violent,1.0
2021,Alpine,Male,White,Drug,0.0
2021,Alpine,Male,White,Property,0.0
2021,Alpine,Male,White,PublicOrder,6.0
2021,Alpine,Male,White,Violent,2.0
2021,Amador,Female,Asian/other,Drug,0.0
2021,Amador,Female,Asian/other,Property,0.0
2021,Amador,Female,Asian/other,PublicOrder,3.0
2021,Amador,Female,Asian/other,Violent,1.0
2021,Amador,Female,Black,Drug,0.0
2021,Amador,Female,Black,Property,0.0
2021,Amador,Female,Black,PublicOrder,0.0
2021,Amador,Female,Black,Violent,1.0
2021,Amador,Female,Latinx,Drug,0.0
2021,Amador,Female,Latinx,Property,2.0
2021,Amador,Female,Latinx,PublicOrder,3.0
2021,Amador,Female,Latinx,Violent,2.0
2021,Amador,Female,White,Drug,6.0
2021,Amador,Female,White,Property,9.0
2021,Amador,Female,White,PublicOrder,23.0
2021,Amador,Female,White,Violent,15.0
2021,Amador,Male,Asian/other,Drug,8.0
2021,Amador,Male,Asian/other,Property,0.0
2021,Amador,Male,Asian/other,PublicOrder,10.0
2021,Amador,Male,Asian/other,Violent,2.0
2021,Amador,Male,Black,Drug,0.0
2021,Amador,Male,Black,Property,2.0
2021,Amador,Male,Black,PublicOrder,2.0
2021,Amador,Male,Black,Violent,4.0
2021,Amador,Male,Latinx,Drug,2.0
2021,Amador,Male,Latinx,Property,4.0
2021,Amador,Male,Latinx,PublicOrder,21.0
2021,Amador,Male,Latinx,Violent,11.0
2021,Amador,Male,White,Drug,15.0
2021,Amador,Male,White,Property,16.0
2021,Amador,Male,White,PublicOrder,65.0
2021,Amador,Male,White,Violent,47.0
2021,Butte,Female,Asian/other,Drug,5.0
2021,Butte,Female,Asian/other,Property,2.0
2021,Butte,Female,Asian/other,PublicOrder,4.0
2021,Butte,Female,Asian/other,Violent,11.0
2021,Butte,Female,Black,Drug,7.0
2021,Butte,Female,Black,Property,5.0
2021,Butte,Female,Black,PublicOrder,2.0
2021,Butte,Female,Black,Violent,10.0
2021,Butte,Female,Latinx,Drug,7.0
2021,Butte,Female,Latinx,Property,9.0
2021,Butte,Female,Latinx,PublicOrder,16.0
2021,Butte,Female,Latinx,Violent,23.0
2021,Butte,Female,White,Drug,55.0
2021,Butte,Female,White,Property,78.0
2021,Butte,Female,White,PublicOrder,111.0
2021,Butte,Female,White,Violent,156.0
2021,Butte,Male,Asian/other,Drug,17.0
2021,Butte,Male,Asian/other,Property,17.0
2021,Butte,Male,Asian/other,PublicOrder,35.0
2021,Butte,Male,Asian/other,Violent,41.0
2021,Butte,Male,Black,Drug,11.0
2021,Butte,Male,Black,Property,18.0
2021,Butte,Male,Black,PublicOrder,40.0
2021,Butte,Male,Black,Violent,50.0
2021,Butte,Male,Latinx,Drug,36.0
2021,Butte,Male,Latinx,Property,20.0
2021,Butte,Male,Latinx,PublicOrder,76.0
2021,Butte,Male,Latinx,Violent,102.0
2021,Butte,Male,White,Drug,175.0
2021,Butte,Male,White,Property,200.0
2021,Butte,Male,White,PublicOrder,390.0
2021,Butte,Male,White,Violent,383.0
2021,Calaveras,Female,Asian/other,Drug,1.0
2021,Calaveras,Female,Asian/other,Property,0.0
2021,Calaveras,Female,Asian/other,PublicOrder,3.0
2021,Calaveras,Female,Asian/other,Violent,3.0
2021,Calaveras,Female,Black,Drug,0.0
2021,Calaveras,Female,Black,Property,0.0
2021,Calaveras,Female,Black,PublicOrder,1.0
2021,Calaveras,Female,Black,Violent,0.0
2021,Calaveras,Female,Latinx,Drug,2.0
2021,Calaveras,Female,Latinx,Property,0.0
