County,Year,Gender,ADPtotrate,Felonyrate,Misdrate,Postdisprate,Predisprate,ADPtotal,Felony,Misd,Postdisp,Predisp,Population,Age
Siskiyou,2020,Male,431.8,0.0,0.0,7.44,424.36,58.0,0.0,0.0,1.0,57.0,13432,Adult
Solano,2020,Male,359.53,0.0,0.0,47.76,311.78,527.0,0.0,0.0,70.0,457.0,146580,Adult
Sonoma,2020,Male,350.27,0.0,0.0,118.37,231.89,577.0,0.0,0.0,195.0,382.0,164732,Adult
Stanislaus,2020,Male,560.73,0.0,0.0,96.49,464.24,1017.0,0.0,0.0,175.0,842.0,181370,Adult
Sutter,2020,Male,407.77,0.0,0.0,88.25,319.52,134.0,0.0,0.0,29.0,105.0,32862,Adult
Tehama,2020,Male,716.97,0.0,0.0,331.66,385.31,147.0,0.0,0.0,68.0,79.0,20503,Adult
Trinity,2020,Male,1056.77,0.0,0.0,245.76,811.01,43.0,0.0,0.0,10.0,33.0,4069,Adult
Tulare,2020,Male,729.99,0.0,0.0,199.87,530.12,1103.0,0.0,0.0,302.0,801.0,151098,Adult
Tuolumne,2020,Male,510.66,0.0,0.0,105.46,405.2,92.0,0.0,0.0,19.0,73.0,18016,Adult
Ventura,2020,Male,423.38,0.0,0.0,169.0,254.38,1195.0,0.0,0.0,477.0,718.0,282254,Adult
Yolo,2020,Male,264.25,0.0,0.0,66.06,198.19,196.0,0.0,0.0,49.0,147.0,74172,Adult
Yuba,2020,Male,813.01,0.0,0.0,148.53,664.48,208.0,0.0,0.0,38.0,170.0,25584,Adult
Alameda,2021,Male,352.34,0.0,0.0,21.62,330.72,2021.0,0.0,0.0,124.0,1897.0,573600,Adult
Alpine,2021,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379,Adult
Amador,2021,Male,404.23,0.0,0.0,106.38,297.85,57.0,0.0,0.0,15.0,42.0,14101,Adult
Butte,2021,Male,585.35,0.0,0.0,176.0,409.36,449.0,0.0,0.0,135.0,314.0,76706,Adult
Calaveras,2021,Male,435.46,0.0,0.0,103.33,332.13,59.0,0.0,0.0,14.0,45.0,13549,Adult
Colusa,2021,Male,714.57,0.0,0.0,256.17,458.41,53.0,0.0,0.0,19.0,34.0,7417,Adult
Contra Costa,2021,Male,189.48,0.0,0.0,25.51,163.97,728.0,0.0,0.0,98.0,630.0,384214,Adult
Del Norte,2021,Male,742.26,0.0,0.0,244.16,498.1,76.0,0.0,0.0,25.0,51.0,10239,Adult
El Dorado,2021,Male,483.18,0.0,0.0,88.29,394.9,301.0,0.0,0.0,55.0,246.0,62295,Adult
Fresno,2021,Male,725.15,0.0,0.0,67.22,657.93,2384.0,0.0,0.0,221.0,2163.0,328760,Adult
Glenn,2021,Male,634.32,0.0,0.0,95.15,539.17,60.0,0.0,0.0,9.0,51.0,9459,Adult
Humboldt,2021,Male,534.77,0.0,0.0,57.45,477.32,242.0,0.0,0.0,26.0,216.0,45253,Adult
Imperial,2021,Male,316.77,0.0,0.0,147.07,169.7,196.0,0.0,0.0,91.0,105.0,61874,Adult
Inyo,2021,Male,755.75,0.0,0.0,137.41,618.34,44.0,0.0,0.0,8.0,36.0,5822,Adult
Kern,2021,Male,493.55,0.0,0.0,30.22,463.32,1535.0,0.0,0.0,94.0,1441.0,311015,Adult
Kings,2021,Male,729.13,0.0,0.0,116.45,612.68,407.0,0.0,0.0,65.0,342.0,55820,Adult
Lake,2021,Male,749.51,0.0,0.0,204.87,544.65,150.0,0.0,0.0,41.0,109.0,20013,Adult
Lassen,2021,Male,626.63,0.0,0.0,183.06,443.57,89.0,0.0,0.0,26.0,63.0,14203,Adult
Los Angeles,2021,Male,322.97,0.0,0.0,91.73,231.24,11207.0,0.0,0.0,3183.0,8024.0,3469940,Adult
Madera,2021,Male,705.74,0.0,0.0,98.24,607.49,352.0,0.0,0.0,49.0,303.0,49877,Adult
Marin,2021,Male,215.74,0.0,0.0,31.34,184.4,179.0,0.0,0.0,26.0,153.0,82970,Adult
Mariposa,2021,Male,360.95,0.0,0.0,54.14,306.8,20.0,0.0,0.0,3.0,17.0,5541,Adult
Mendocino,2021,Male,724.64,0.0,0.0,220.23,504.4,204.0,0.0,0.0,62.0,142.0,28152,Adult
Merced,2021,Male,513.07,0.0,0.0,12.83,500.25,480.0,0.0,0.0,12.0,468.0,93554,Adult
Modoc,2021,Male,728.66,0.0,0.0,277.59,451.08,21.0,0.0,0.0,8.0,13.0,2882,Adult
Mono,2021,Male,390.47,0.0,0.0,97.62,292.85,20.0,0.0,0.0,5.0,15.0,5122,Adult
Monterey,2021,Male,516.96,0.0,0.0,174.76,342.2,778.0,0.0,0.0,263.0,515.0,150496,Adult
Napa,2021,Male,359.98,0.0,0.0,98.57,261.42,168.0,0.0,0.0,46.0,122.0,46669,Adult
Nevada,2021,Male,401.5,0.0,0.0,68.0,333.51,124.0,0.0,0.0,21.0,103.0,30884,Adult
Orange,2021,Male,281.62,0.0,0.0,88.95,192.67,3030.0,0.0,0.0,957.0,2073.0,1075927,Adult
Placer,2021,Male,389.99,0.0,0.0,78.92,311.08,509.0,0.0,0.0,103.0,406.0,130515,Adult
Plumas,2021,Male,418.85,0.0,0.0,104.71,314.14,24.0,0.0,0.0,6.0,18.0,5730,Adult
Riverside,2021,Male,382.81,0.0,0.0,47.13,335.69,3095.0,0.0,0.0,381.0,2714.0,808486,Adult
Sacramento,2021,Male,590.17,0.0,0.0,177.13,413.04,3052.0,0.0,0.0,916.0,2136.0,517140,Adult
San Benito,2021,Male,311.84,0.0,0.0,56.7,255.14,66.0,0.0,0.0,12.0,54.0,21165,Adult
San Bernardino,2021,Male,639.71,0.0,0.0,81.99,557.72,4619.0,0.0,0.0,592.0,4027.0,722045,Adult
