Year,County,Cost_per_prisoner,Imprisonments,Population
2017,Kern,98731.13977823606,5.0,20194.0
2017,Kern,98731.13977823606,0.0,13724.0
2017,Kern,98731.13977823606,5.0,13724.0
2017,Kern,98731.13977823606,1.0,13724.0
2017,Kern,98731.13977823606,30.0,13724.0
2017,Kern,98731.13977823606,2.0,135031.0
2017,Kern,98731.13977823606,18.0,135031.0
2017,Kern,98731.13977823606,14.0,135031.0
2017,Kern,98731.13977823606,28.0,135031.0
2017,Kern,98731.13977823606,5.0,105481.0
2017,Kern,98731.13977823606,18.0,105481.0
2017,Kern,98731.13977823606,10.0,105481.0
2017,Kern,98731.13977823606,39.0,105481.0
2017,Kern,98731.13977823606,7.0,18679.0
2017,Kern,98731.13977823606,9.0,18679.0
2017,Kern,98731.13977823606,8.0,18679.0
2017,Kern,98731.13977823606,73.0,18679.0
2017,Kern,98731.13977823606,48.0,18903.0
2017,Kern,98731.13977823606,104.0,18903.0
2017,Kern,98731.13977823606,90.0,18903.0
2017,Kern,98731.13977823606,562.0,18903.0
2017,Kern,98731.13977823606,98.0,153527.0
2017,Kern,98731.13977823606,234.0,153527.0
2017,Kern,98731.13977823606,309.0,153527.0
2017,Kern,98731.13977823606,1279.0,153527.0
2017,Kern,98731.13977823606,74.0,110582.0
2017,Kern,98731.13977823606,209.0,110582.0
2017,Kern,98731.13977823606,101.0,110582.0
2017,Kern,98731.13977823606,610.0,110582.0
2017,Kings,98731.13977823606,0.0,3204.0
2017,Kings,98731.13977823606,0.0,3204.0
2017,Kings,98731.13977823606,2.0,3204.0
2017,Kings,98731.13977823606,2.0,3204.0
2017,Kings,98731.13977823606,1.0,1694.0
2017,Kings,98731.13977823606,1.0,1694.0
2017,Kings,98731.13977823606,2.0,1694.0
2017,Kings,98731.13977823606,6.0,1694.0
2017,Kings,98731.13977823606,0.0,20957.0
2017,Kings,98731.13977823606,3.0,20957.0
2017,Kings,98731.13977823606,5.0,20957.0
2017,Kings,98731.13977823606,22.0,20957.0
2017,Kings,98731.13977823606,2.0,14336.0
2017,Kings,98731.13977823606,4.0,14336.0
2017,Kings,98731.13977823606,2.0,14336.0
2017,Kings,98731.13977823606,16.0,14336.0
2017,Kings,98731.13977823606,4.0,3048.0
2017,Kings,98731.13977823606,2.0,3048.0
2017,Kings,98731.13977823606,13.0,3048.0
2017,Kings,98731.13977823606,45.0,3048.0
2017,Kings,98731.13977823606,19.0,5302.0
2017,Kings,98731.13977823606,10.0,5302.0
2017,Kings,98731.13977823606,24.0,5302.0
2017,Kings,98731.13977823606,146.0,5302.0
2017,Kings,98731.13977823606,49.0,27475.0
2017,Kings,98731.13977823606,43.0,27475.0
2017,Kings,98731.13977823606,103.0,27475.0
2017,Kings,98731.13977823606,461.0,27475.0
2017,Kings,98731.13977823606,18.0,18653.0
2017,Kings,98731.13977823606,22.0,18653.0
2017,Kings,98731.13977823606,28.0,18653.0
2017,Kings,98731.13977823606,175.0,18653.0
2017,Lake,98731.13977823606,0.0,1528.0
2017,Lake,98731.13977823606,0.0,1528.0
2017,Lake,98731.13977823606,0.0,1528.0
2017,Lake,98731.13977823606,1.0,1528.0
2017,Lake,98731.13977823606,1.0,279.0
2017,Lake,98731.13977823606,2.0,279.0
2017,Lake,98731.13977823606,4.0,279.0
