Year,County,Gender,Race,Population_age_10-17,Poverty_rate_age_12-17
2017,Santa Cruz,Male,Asian/other,1039,0.1219512195121951
2017,Santa Cruz,Male,Black,90,0.3627450980392157
2017,Santa Cruz,Male,Latinx,6806,0.2382424376241996
2017,Santa Cruz,Male,White,6050,0.0716360116166505
2017,Shasta,Female,Asian/other,1016,0.3333333333333333
2017,Shasta,Female,Black,94,0.0
2017,Shasta,Female,Latinx,1209,0.4156079854809437
2017,Shasta,Female,White,6256,0.1650256849315068
2017,Shasta,Male,Asian/other,1057,0.3323076923076923
2017,Shasta,Male,Black,109,0.0
2017,Shasta,Male,Latinx,1338,0.3245798319327731
2017,Shasta,Male,White,6448,0.2305590584279108
2017,Sierra,Female,Asian/other,4,0.0
2017,Sierra,Female,Black,0,0.0
2017,Sierra,Female,Latinx,14,0.0
2017,Sierra,Female,White,85,0.2222222222222222
2017,Sierra,Male,Asian/other,6,0.0
2017,Sierra,Male,Black,0,0.0
2017,Sierra,Male,Latinx,9,0.0
2017,Sierra,Male,White,86,0.0
2017,Siskiyou,Female,Asian/other,301,0.0
2017,Siskiyou,Female,Black,23,0.0454545454545454
2017,Siskiyou,Female,Latinx,334,0.4646840148698885
2017,Siskiyou,Female,White,1299,0.097378277153558
2017,Siskiyou,Male,Asian/other,274,0.0
2017,Siskiyou,Male,Black,19,0.0
2017,Siskiyou,Male,Latinx,388,0.358974358974359
2017,Siskiyou,Male,White,1392,0.0835791543756145
2017,Solano,Female,Asian/other,4999,0.3644859813084112
2017,Solano,Female,Black,3140,0.288961038961039
2017,Solano,Female,Latinx,7987,0.2138525375039897
2017,Solano,Female,White,6406,0.0951242829827915
2017,Solano,Male,Asian/other,5420,0.079379773200648
2017,Solano,Male,Black,3399,0.2419354838709677
2017,Solano,Male,Latinx,8557,0.1718775847808105
2017,Solano,Male,White,6886,0.086754126110876
2017,Sonoma,Female,Asian/other,2258,0.0952380952380952
2017,Sonoma,Female,Black,306,0.0
2017,Sonoma,Female,Latinx,9447,0.1883408071748878
2017,Sonoma,Female,White,11019,0.0668389955686853
2017,Sonoma,Male,Asian/other,2183,0.058933582787652
2017,Sonoma,Male,Black,358,0.0026954177897574
2017,Sonoma,Male,Latinx,9973,0.2253364784237546
2017,Sonoma,Male,White,11677,0.0983771543590388
2017,Stanislaus,Female,Asian/other,2702,0.3468795355587808
2017,Stanislaus,Female,Black,820,0.0966010733452593
2017,Stanislaus,Female,Latinx,18235,0.2543200874954429
2017,Stanislaus,Female,White,10406,0.1346661113424961
2017,Stanislaus,Male,Asian/other,3076,0.2361302154974782
2017,Stanislaus,Male,Black,884,0.2111111111111111
2017,Stanislaus,Male,Latinx,19070,0.2274186793243054
2017,Stanislaus,Male,White,11043,0.1636683859604981
2017,Sutter,Female,Asian/other,1098,0.1993769470404984
2017,Sutter,Female,Black,95,0.4375
2017,Sutter,Female,Latinx,2298,0.1802486187845303
2017,Sutter,Female,White,2240,0.0682367149758454
2017,Sutter,Male,Asian/other,1209,0.2505592841163311
2017,Sutter,Male,Black,97,0.1384615384615384
2017,Sutter,Male,Latinx,2393,0.3038123167155425
2017,Sutter,Male,White,2352,0.118253486961795
2017,Tehama,Female,Asian/other,243,0.0
2017,Tehama,Female,Black,30,0.0
2017,Tehama,Female,Latinx,1191,0.3739545997610514
2017,Tehama,Female,White,1925,0.2222222222222222
2017,Tehama,Male,Asian/other,225,0.0
2017,Tehama,Male,Black,16,0.0
2017,Tehama,Male,Latinx,1282,0.2162516382699869
2017,Tehama,Male,White,2092,0.1622746185852982
2017,Trinity,Female,Asian/other,60,0.0
2017,Trinity,Female,Black,1,0.0
2017,Trinity,Female,Latinx,71,0.0655737704918032
2017,Trinity,Female,White,343,0.1462450592885375
2017,Trinity,Male,Asian/other,88,0.0
2017,Trinity,Male,Black,1,0.0
2017,Trinity,Male,Latinx,73,0.0
2017,Trinity,Male,White,419,0.2555205047318612
2017,Tulare,Female,Asian/other,1597,0.1864406779661017
2017,Tulare,Female,Black,332,0.5249266862170088
2017,Tulare,Female,Latinx,23367,0.3680359509131762
2017,Tulare,Female,White,6353,0.1283860687457318
2017,Tulare,Male,Asian/other,1631,0.1177370030581039
2017,Tulare,Male,Black,349,0.2450980392156862
2017,Tulare,Male,Latinx,24596,0.4087696109418999
2017,Tulare,Male,White,6735,0.1597393844079982
2017,Tuolumne,Female,Asian/other,147,0.0
2017,Tuolumne,Female,Black,9,0.0
2017,Tuolumne,Female,Latinx,321,0.0
2017,Tuolumne,Female,White,1484,0.0831758034026465
