,Year,County,Gender,Race,Offense_Category,Count,Age
333,2017,Santa Cruz,Male,Latinx,Violent,32.0,Juvenile
334,2017,Shasta,Male,Latinx,Violent,3.0,Juvenile
335,2017,Sierra,Male,Latinx,Violent,0.0,Juvenile
336,2017,Siskiyou,Male,Latinx,Violent,2.0,Juvenile
337,2017,Solano,Male,Latinx,Violent,22.0,Juvenile
338,2017,Sonoma,Male,Latinx,Violent,38.0,Juvenile
339,2017,Stanislaus,Male,Latinx,Violent,94.0,Juvenile
340,2017,Sutter,Male,Latinx,Violent,6.0,Juvenile
341,2017,Tehama,Male,Latinx,Violent,3.0,Juvenile
342,2017,Trinity,Male,Latinx,Violent,0.0,Juvenile
343,2017,Tulare,Male,Latinx,Violent,83.0,Juvenile
344,2017,Tuolumne,Male,Latinx,Violent,3.0,Juvenile
345,2017,Ventura,Male,Latinx,Violent,72.0,Juvenile
346,2017,Yolo,Male,Latinx,Violent,13.0,Juvenile
347,2017,Yuba,Male,Latinx,Violent,6.0,Juvenile
348,2017,Alameda,Male,Asian/other,Violent,20.0,Juvenile
349,2017,Alpine,Male,Asian/other,Violent,0.0,Juvenile
350,2017,Amador,Male,Asian/other,Violent,0.0,Juvenile
351,2017,Butte,Male,Asian/other,Violent,1.0,Juvenile
352,2017,Calaveras,Male,Asian/other,Violent,0.0,Juvenile
353,2017,Colusa,Male,Asian/other,Violent,0.0,Juvenile
354,2017,Contra Cost,Male,Asian/other,Violent,7.0,Juvenile
355,2017,Del Norte,Male,Asian/other,Violent,0.0,Juvenile
356,2017,El Dorado,Male,Asian/other,Violent,0.0,Juvenile
357,2017,Fresno,Male,Asian/other,Violent,2.0,Juvenile
358,2017,Glenn,Male,Asian/other,Violent,0.0,Juvenile
359,2017,Humboldt,Male,Asian/other,Violent,3.0,Juvenile
360,2017,Imperial,Male,Asian/other,Violent,0.0,Juvenile
361,2017,Inyo,Male,Asian/other,Violent,1.0,Juvenile
362,2017,Kern,Male,Asian/other,Violent,3.0,Juvenile
363,2017,Kings,Male,Asian/other,Violent,5.0,Juvenile
364,2017,Lake,Male,Asian/other,Violent,3.0,Juvenile
365,2017,Lassen,Male,Asian/other,Violent,0.0,Juvenile
366,2017,Los Angeles,Male,Asian/other,Violent,55.0,Juvenile
367,2017,Madera,Male,Asian/other,Violent,1.0,Juvenile
368,2017,Marin,Male,Asian/other,Violent,2.0,Juvenile
369,2017,Mariposa,Male,Asian/other,Violent,0.0,Juvenile
370,2017,Mendocino,Male,Asian/other,Violent,4.0,Juvenile
371,2017,Merced,Male,Asian/other,Violent,6.0,Juvenile
372,2017,Modoc,Male,Asian/other,Violent,0.0,Juvenile
373,2017,Mono,Male,Asian/other,Violent,0.0,Juvenile
374,2017,Monterey,Male,Asian/other,Violent,2.0,Juvenile
375,2017,Napa,Male,Asian/other,Violent,0.0,Juvenile
376,2017,Nevada,Male,Asian/other,Violent,1.0,Juvenile
377,2017,Orange,Male,Asian/other,Violent,23.0,Juvenile
378,2017,Placer,Male,Asian/other,Violent,4.0,Juvenile
379,2017,Plumas,Male,Asian/other,Violent,0.0,Juvenile
380,2017,Riverside,Male,Asian/other,Violent,8.0,Juvenile
381,2017,Sacramento,Male,Asian/other,Violent,18.0,Juvenile
382,2017,San Benito,Male,Asian/other,Violent,0.0,Juvenile
383,2017,San Bernard,Male,Asian/other,Violent,21.0,Juvenile
384,2017,San Diego,Male,Asian/other,Violent,25.0,Juvenile
385,2017,San Francis,Male,Asian/other,Violent,3.343283582089552,Juvenile
386,2017,San Joaquin,Male,Asian/other,Violent,22.0,Juvenile
387,2017,San Luis Ob,Male,Asian/other,Violent,4.0,Juvenile
388,2017,San Mateo,Male,Asian/other,Violent,11.0,Juvenile
389,2017,Santa Barba,Male,Asian/other,Violent,6.0,Juvenile
390,2017,Santa Clara,Male,Asian/other,Violent,39.0,Juvenile
391,2017,Santa Cruz,Male,Asian/other,Violent,1.0,Juvenile
392,2017,Shasta,Male,Asian/other,Violent,2.0,Juvenile
393,2017,Sierra,Male,Asian/other,Violent,0.0,Juvenile
394,2017,Siskiyou,Male,Asian/other,Violent,1.0,Juvenile
395,2017,Solano,Male,Asian/other,Violent,3.0,Juvenile
396,2017,Sonoma,Male,Asian/other,Violent,2.0,Juvenile
397,2017,Stanislaus,Male,Asian/other,Violent,2.0,Juvenile
398,2017,Sutter,Male,Asian/other,Violent,1.0,Juvenile
399,2017,Tehama,Male,Asian/other,Violent,1.0,Juvenile
400,2017,Trinity,Male,Asian/other,Violent,0.0,Juvenile
401,2017,Tulare,Male,Asian/other,Violent,2.0,Juvenile
402,2017,Tuolumne,Male,Asian/other,Violent,0.0,Juvenile
403,2017,Ventura,Male,Asian/other,Violent,2.0,Juvenile
404,2017,Yolo,Male,Asian/other,Violent,2.0,Juvenile
405,2017,Yuba,Male,Asian/other,Violent,3.0,Juvenile
406,2017,Alameda,Male,White,Violent,23.0,Juvenile
407,2017,Alpine,Male,White,Violent,0.0,Juvenile
408,2017,Amador,Male,White,Violent,1.0,Juvenile
409,2017,Butte,Male,White,Violent,13.0,Juvenile
410,2017,Calaveras,Male,White,Violent,13.0,Juvenile
411,2017,Colusa,Male,White,Violent,0.0,Juvenile
412,2017,Contra Cost,Male,White,Violent,20.0,Juvenile
413,2017,Del Norte,Male,White,Violent,0.0,Juvenile
414,2017,El Dorado,Male,White,Violent,16.0,Juvenile
415,2017,Fresno,Male,White,Violent,28.0,Juvenile
416,2017,Glenn,Male,White,Violent,1.0,Juvenile
417,2017,Humboldt,Male,White,Violent,12.0,Juvenile
418,2017,Imperial,Male,White,Violent,0.0,Juvenile
419,2017,Inyo,Male,White,Violent,0.0,Juvenile
420,2017,Kern,Male,White,Violent,28.0,Juvenile
421,2017,Kings,Male,White,Violent,9.0,Juvenile
422,2017,Lake,Male,White,Violent,9.0,Juvenile
423,2017,Lassen,Male,White,Violent,2.0,Juvenile
424,2017,Los Angeles,Male,White,Violent,96.0,Juvenile
425,2017,Madera,Male,White,Violent,3.0,Juvenile
426,2017,Marin,Male,White,Violent,17.0,Juvenile
427,2017,Mariposa,Male,White,Violent,0.0,Juvenile
428,2017,Mendocino,Male,White,Violent,7.0,Juvenile
429,2017,Merced,Male,White,Violent,9.0,Juvenile
430,2017,Modoc,Male,White,Violent,2.0,Juvenile
431,2017,Mono,Male,White,Violent,0.0,Juvenile
432,2017,Monterey,Male,White,Violent,6.0,Juvenile
433,2017,Napa,Male,White,Violent,9.0,Juvenile
434,2017,Nevada,Male,White,Violent,12.0,Juvenile
435,2017,Orange,Male,White,Violent,38.0,Juvenile
436,2017,Placer,Male,White,Violent,29.0,Juvenile
437,2017,Plumas,Male,White,Violent,1.0,Juvenile
438,2017,Riverside,Male,White,Violent,40.0,Juvenile
439,2017,Sacramento,Male,White,Violent,58.0,Juvenile
440,2017,San Benito,Male,White,Violent,1.0,Juvenile
