Year,County,Gender,Race,Offense_Category,Count,Age
2017,San Mateo,Female,White,Violent,1.0,Juvenile
2017,Santa Barba,Female,White,Violent,6.0,Juvenile
2017,Santa Clara,Female,White,Violent,7.0,Juvenile
2017,Santa Cruz,Female,White,Violent,1.0,Juvenile
2017,Shasta,Female,White,Violent,7.0,Juvenile
2017,Sierra,Female,White,Violent,0.0,Juvenile
2017,Siskiyou,Female,White,Violent,0.0,Juvenile
2017,Solano,Female,White,Violent,3.0,Juvenile
2017,Sonoma,Female,White,Violent,7.0,Juvenile
2017,Stanislaus,Female,White,Violent,9.0,Juvenile
2017,Sutter,Female,White,Violent,3.0,Juvenile
2017,Tehama,Female,White,Violent,1.0,Juvenile
2017,Trinity,Female,White,Violent,0.0,Juvenile
2017,Tulare,Female,White,Violent,1.0,Juvenile
2017,Tuolumne,Female,White,Violent,3.0,Juvenile
2017,Ventura,Female,White,Violent,7.0,Juvenile
2017,Yolo,Female,White,Violent,2.0,Juvenile
2017,Yuba,Female,White,Violent,1.0,Juvenile
2017,Alameda,Male,Black,Violent,170.0,Juvenile
2017,Alpine,Male,Black,Violent,0.0,Juvenile
2017,Amador,Male,Black,Violent,0.0,Juvenile
2017,Butte,Male,Black,Violent,7.0,Juvenile
2017,Calaveras,Male,Black,Violent,1.0,Juvenile
2017,Colusa,Male,Black,Violent,0.0,Juvenile
2017,Contra Cost,Male,Black,Violent,90.0,Juvenile
2017,Del Norte,Male,Black,Violent,0.0,Juvenile
2017,El Dorado,Male,Black,Violent,2.0,Juvenile
2017,Fresno,Male,Black,Violent,57.0,Juvenile
2017,Glenn,Male,Black,Violent,1.0,Juvenile
2017,Humboldt,Male,Black,Violent,1.0,Juvenile
2017,Imperial,Male,Black,Violent,1.0,Juvenile
2017,Inyo,Male,Black,Violent,0.0,Juvenile
2017,Kern,Male,Black,Violent,33.0,Juvenile
2017,Kings,Male,Black,Violent,6.0,Juvenile
2017,Lake,Male,Black,Violent,1.0,Juvenile
2017,Lassen,Male,Black,Violent,1.0,Juvenile
2017,Los Angeles,Male,Black,Violent,608.0,Juvenile
2017,Madera,Male,Black,Violent,0.0,Juvenile
2017,Marin,Male,Black,Violent,8.0,Juvenile
2017,Mariposa,Male,Black,Violent,0.0,Juvenile
2017,Mendocino,Male,Black,Violent,1.0,Juvenile
2017,Merced,Male,Black,Violent,11.0,Juvenile
2017,Modoc,Male,Black,Violent,0.0,Juvenile
2017,Mono,Male,Black,Violent,0.0,Juvenile
2017,Monterey,Male,Black,Violent,8.0,Juvenile
2017,Napa,Male,Black,Violent,2.0,Juvenile
2017,Nevada,Male,Black,Violent,2.0,Juvenile
2017,Orange,Male,Black,Violent,30.0,Juvenile
2017,Placer,Male,Black,Violent,11.0,Juvenile
2017,Plumas,Male,Black,Violent,0.0,Juvenile
2017,Riverside,Male,Black,Violent,61.0,Juvenile
2017,Sacramento,Male,Black,Violent,153.0,Juvenile
2017,San Benito,Male,Black,Violent,0.0,Juvenile
2017,San Bernard,Male,Black,Violent,203.0,Juvenile
2017,San Diego,Male,Black,Violent,109.0,Juvenile
2017,San Francis,Male,Black,Violent,18.59701492537313,Juvenile
2017,San Joaquin,Male,Black,Violent,92.0,Juvenile
2017,San Luis Ob,Male,Black,Violent,5.0,Juvenile
2017,San Mateo,Male,Black,Violent,20.0,Juvenile
2017,Santa Barba,Male,Black,Violent,6.0,Juvenile
2017,Santa Clara,Male,Black,Violent,41.0,Juvenile
2017,Santa Cruz,Male,Black,Violent,4.0,Juvenile
2017,Shasta,Male,Black,Violent,6.0,Juvenile
2017,Sierra,Male,Black,Violent,0.0,Juvenile
2017,Siskiyou,Male,Black,Violent,0.0,Juvenile
2017,Solano,Male,Black,Violent,62.0,Juvenile
2017,Sonoma,Male,Black,Violent,2.0,Juvenile
2017,Stanislaus,Male,Black,Violent,23.0,Juvenile
2017,Sutter,Male,Black,Violent,3.0,Juvenile
2017,Tehama,Male,Black,Violent,2.0,Juvenile
2017,Trinity,Male,Black,Violent,0.0,Juvenile
2017,Tulare,Male,Black,Violent,13.0,Juvenile
2017,Tuolumne,Male,Black,Violent,0.0,Juvenile
2017,Ventura,Male,Black,Violent,13.0,Juvenile
2017,Yolo,Male,Black,Violent,4.0,Juvenile
2017,Yuba,Male,Black,Violent,1.0,Juvenile
2017,Alameda,Male,Latinx,Violent,63.0,Juvenile
2017,Alpine,Male,Latinx,Violent,0.0,Juvenile
2017,Amador,Male,Latinx,Violent,0.0,Juvenile
2017,Butte,Male,Latinx,Violent,8.0,Juvenile
2017,Calaveras,Male,Latinx,Violent,4.0,Juvenile
2017,Colusa,Male,Latinx,Violent,1.0,Juvenile
2017,Contra Cost,Male,Latinx,Violent,42.0,Juvenile
2017,Del Norte,Male,Latinx,Violent,0.0,Juvenile
2017,El Dorado,Male,Latinx,Violent,4.0,Juvenile
2017,Fresno,Male,Latinx,Violent,160.0,Juvenile
2017,Glenn,Male,Latinx,Violent,2.0,Juvenile
2017,Humboldt,Male,Latinx,Violent,1.0,Juvenile
2017,Imperial,Male,Latinx,Violent,15.0,Juvenile
2017,Inyo,Male,Latinx,Violent,0.0,Juvenile
2017,Kern,Male,Latinx,Violent,60.0,Juvenile
2017,Kings,Male,Latinx,Violent,37.0,Juvenile
2017,Lake,Male,Latinx,Violent,1.0,Juvenile
2017,Lassen,Male,Latinx,Violent,0.0,Juvenile
2017,Los Angeles,Male,Latinx,Violent,897.0,Juvenile
2017,Madera,Male,Latinx,Violent,13.0,Juvenile
2017,Marin,Male,Latinx,Violent,24.0,Juvenile
2017,Mariposa,Male,Latinx,Violent,0.0,Juvenile
2017,Mendocino,Male,Latinx,Violent,9.0,Juvenile
2017,Merced,Male,Latinx,Violent,55.0,Juvenile
2017,Modoc,Male,Latinx,Violent,0.0,Juvenile
2017,Mono,Male,Latinx,Violent,0.0,Juvenile
2017,Monterey,Male,Latinx,Violent,64.0,Juvenile
2017,Napa,Male,Latinx,Violent,10.0,Juvenile
2017,Nevada,Male,Latinx,Violent,4.0,Juvenile
2017,Orange,Male,Latinx,Violent,264.0,Juvenile
2017,Placer,Male,Latinx,Violent,7.0,Juvenile
2017,Plumas,Male,Latinx,Violent,0.0,Juvenile
2017,Riverside,Male,Latinx,Violent,122.0,Juvenile
2017,Sacramento,Male,Latinx,Violent,67.0,Juvenile
2017,San Benito,Male,Latinx,Violent,7.0,Juvenile
2017,San Bernard,Male,Latinx,Violent,281.0,Juvenile
2017,San Diego,Male,Latinx,Violent,236.0,Juvenile
2017,San Francis,Male,Latinx,Violent,6.477611940298507,Juvenile
2017,San Joaquin,Male,Latinx,Violent,98.0,Juvenile
2017,San Luis Ob,Male,Latinx,Violent,5.0,Juvenile
2017,San Mateo,Male,Latinx,Violent,50.0,Juvenile
2017,Santa Barba,Male,Latinx,Violent,63.0,Juvenile
2017,Santa Clara,Male,Latinx,Violent,197.0,Juvenile
2017,Santa Cruz,Male,Latinx,Violent,32.0,Juvenile
2017,Shasta,Male,Latinx,Violent,3.0,Juvenile
2017,Sierra,Male,Latinx,Violent,0.0,Juvenile
2017,Siskiyou,Male,Latinx,Violent,2.0,Juvenile
2017,Solano,Male,Latinx,Violent,22.0,Juvenile
2017,Sonoma,Male,Latinx,Violent,38.0,Juvenile
2017,Stanislaus,Male,Latinx,Violent,94.0,Juvenile
2017,Sutter,Male,Latinx,Violent,6.0,Juvenile
2017,Tehama,Male,Latinx,Violent,3.0,Juvenile
2017,Trinity,Male,Latinx,Violent,0.0,Juvenile
2017,Tulare,Male,Latinx,Violent,83.0,Juvenile
2017,Tuolumne,Male,Latinx,Violent,3.0,Juvenile
2017,Ventura,Male,Latinx,Violent,72.0,Juvenile
2017,Yolo,Male,Latinx,Violent,13.0,Juvenile
2017,Yuba,Male,Latinx,Violent,6.0,Juvenile
2017,Alameda,Male,Asian/other,Violent,20.0,Juvenile
2017,Alpine,Male,Asian/other,Violent,0.0,Juvenile
2017,Amador,Male,Asian/other,Violent,0.0,Juvenile
2017,Butte,Male,Asian/other,Violent,1.0,Juvenile
2017,Calaveras,Male,Asian/other,Violent,0.0,Juvenile
2017,Colusa,Male,Asian/other,Violent,0.0,Juvenile
2017,Contra Cost,Male,Asian/other,Violent,7.0,Juvenile
2017,Del Norte,Male,Asian/other,Violent,0.0,Juvenile
2017,El Dorado,Male,Asian/other,Violent,0.0,Juvenile
2017,Fresno,Male,Asian/other,Violent,2.0,Juvenile
2017,Glenn,Male,Asian/other,Violent,0.0,Juvenile
2017,Humboldt,Male,Asian/other,Violent,3.0,Juvenile
2017,Imperial,Male,Asian/other,Violent,0.0,Juvenile
2017,Inyo,Male,Asian/other,Violent,1.0,Juvenile
2017,Kern,Male,Asian/other,Violent,3.0,Juvenile
2017,Kings,Male,Asian/other,Violent,5.0,Juvenile
2017,Lake,Male,Asian/other,Violent,3.0,Juvenile
2017,Lassen,Male,Asian/other,Violent,0.0,Juvenile
2017,Los Angeles,Male,Asian/other,Violent,55.0,Juvenile
2017,Madera,Male,Asian/other,Violent,1.0,Juvenile
2017,Marin,Male,Asian/other,Violent,2.0,Juvenile
2017,Mariposa,Male,Asian/other,Violent,0.0,Juvenile
2017,Mendocino,Male,Asian/other,Violent,4.0,Juvenile
2017,Merced,Male,Asian/other,Violent,6.0,Juvenile
2017,Modoc,Male,Asian/other,Violent,0.0,Juvenile
2017,Mono,Male,Asian/other,Violent,0.0,Juvenile
2017,Monterey,Male,Asian/other,Violent,2.0,Juvenile
2017,Napa,Male,Asian/other,Violent,0.0,Juvenile
2017,Nevada,Male,Asian/other,Violent,1.0,Juvenile
2017,Orange,Male,Asian/other,Violent,23.0,Juvenile
2017,Placer,Male,Asian/other,Violent,4.0,Juvenile
2017,Plumas,Male,Asian/other,Violent,0.0,Juvenile
2017,Riverside,Male,Asian/other,Violent,8.0,Juvenile
2017,Sacramento,Male,Asian/other,Violent,18.0,Juvenile
2017,San Benito,Male,Asian/other,Violent,0.0,Juvenile
2017,San Bernard,Male,Asian/other,Violent,21.0,Juvenile
